frame_id,seq_id,class_id,behavioural_label,image_path,mask_path,overlay_path,gas_area_pct,gas_centroid_x,gas_centroid_y,gas_dispersion,gas_connected_components,gas_intensity_mean,gas_intensity_max,is_interpolated,excluded,split
SEQ_0483_frame_00000,0483,0,High Metabolic Activity (Active Rumination State),dataset/SEQ_0483/images/SEQ_0483_frame_00000.png,dataset/SEQ_0483/masks/SEQ_0483_frame_00000.png,dataset/SEQ_0483/overlays/SEQ_0483_frame_00000.png,20.3659,64.78,103.26,42.3979,1,117.84,139.0,False,False,train
SEQ_0483_frame_00008,0483,0,High Metabolic Activity (Active Rumination State),dataset/SEQ_0483/images/SEQ_0483_frame_00008.png,dataset/SEQ_0483/masks/SEQ_0483_frame_00008.png,dataset/SEQ_0483/overlays/SEQ_0483_frame_00008.png,5.7578,174.55,139.78,26.05,1,110.88,152.0,False,False,train
SEQ_0483_frame_00009,0483,0,High Metabolic Activity (Active Rumination State),dataset/SEQ_0483/images/SEQ_0483_frame_00009.png,dataset/SEQ_0483/masks/SEQ_0483_frame_00009.png,dataset/SEQ_0483/overlays/SEQ_0483_frame_00009.png,13.1185,143.62,143.28,31.7696,1,118.15,214.0,False,False,train
SEQ_0483_frame_00010,0483,0,High Metabolic Activity (Active Rumination State),dataset/SEQ_0483/images/SEQ_0483_frame_00010.png,dataset/SEQ_0483/masks/SEQ_0483_frame_00010.png,dataset/SEQ_0483/overlays/SEQ_0483_frame_00010.png,17.8776,132.72,127.08,36.015,1,123.87,229.0,False,False,train
SEQ_0483_frame_00011,0483,0,High Metabolic Activity (Active Rumination State),dataset/SEQ_0483/images/SEQ_0483_frame_00011.png,dataset/SEQ_0483/masks/SEQ_0483_frame_00011.png,dataset/SEQ_0483/overlays/SEQ_0483_frame_00011.png,27.7682,111.49,126.19,46.1597,1,122.57,237.0,False,False,train
SEQ_0483_frame_00012,0483,0,High Metabolic Activity (Active Rumination State),dataset/SEQ_0483/images/SEQ_0483_frame_00012.png,dataset/SEQ_0483/masks/SEQ_0483_frame_00012.png,dataset/SEQ_0483/overlays/SEQ_0483_frame_00012.png,29.4674,105.85,119.55,48.9576,1,122.25,233.0,False,False,train
SEQ_0483_frame_00013,0483,0,High Metabolic Activity (Active Rumination State),dataset/SEQ_0483/images/SEQ_0483_frame_00013.png,dataset/SEQ_0483/masks/SEQ_0483_frame_00013.png,dataset/SEQ_0483/overlays/SEQ_0483_frame_00013.png,25.6224,101.66,118.01,51.4627,2,116.59,180.0,False,False,train
SEQ_0483_frame_00020,0483,0,High Metabolic Activity (Active Rumination State),dataset/SEQ_0483/images/SEQ_0483_frame_00020.png,dataset/SEQ_0483/masks/SEQ_0483_frame_00020.png,dataset/SEQ_0483/overlays/SEQ_0483_frame_00020.png,5.9141,204.97,145.45,40.9625,1,112.58,130.0,False,False,train
SEQ_0483_frame_00021,0483,0,High Metabolic Activity (Active Rumination State),dataset/SEQ_0483/images/SEQ_0483_frame_00021.png,dataset/SEQ_0483/masks/SEQ_0483_frame_00021.png,dataset/SEQ_0483/overlays/SEQ_0483_frame_00021.png,7.1953,193.3,155.54,28.9189,1,111.85,163.0,False,False,train
SEQ_0483_frame_00022,0483,0,High Metabolic Activity (Active Rumination State),dataset/SEQ_0483/images/SEQ_0483_frame_00022.png,dataset/SEQ_0483/masks/SEQ_0483_frame_00022.png,dataset/SEQ_0483/overlays/SEQ_0483_frame_00022.png,6.0052,203.9,166.95,28.2507,1,110.87,177.0,False,False,train
